福音,Evangelho
聖書,Bíblia
宣教,Missão
新しい命,Vida Nova
世界宣教,Missão Mundial
セントラル,Central
プロジェト,Projeto
ヴィーニョ・ノーヴォ,Vinho Novo
ヴィザォン・ミッショナリア,Visão Missionaria
ドウラード,Dourado
ベレン,Belém
ジャパン,Japão
リバイバル,Avivamento
回復ミニストリー,Ministério da Restauração
福音派,Evangélica
生きた水,Água Viva
生きる家族,Família Viva
満ち足りた人生,Vida Plena
神の恵み,Graça de Deus
神の王国,Reino de Deus
すべての民のためのキリスト,Cristo para os Povos
信仰のリバイバル,Avivamento da Fé
日本リバイバル,Avivamento Japão
国際,Internacional
共同体,Comunidade
バプテスト,Batista
本部,Sede
ミッショナリー,Missionária
キリスト,Cristo
聖和,Seiwa
聖光,Seiko
聖愛,Seiai
聖約,Seiyaku
聖徒,Seito
愛泉,Aisen
まぶね,Mabune
地の果て,Chinohate
オンヌリ,Onnuri
一麦,Ichibaku
神召,Shinsho
招待,Shotai
ライフリバー,Rio da Vida
羔羊,Cordeiro
信愛,Shinai
グレイス,Graça
のぞみ,Nozomi
復活,Fukkatsu
望み,Nozomi
希望,Kibu
栄光,Glória
ホープ,Esperança
コミュニティ,Comunidade
ソフイア,Sofia
ソフィア,Sofia
バイブル,Bíblia
ごすぺる,Evangelho
ゴスペル,Evangelho
聖三一,Santíssima Trindade
サミル,Samiru
ホサナ福音キリスト,Evangelho de Hosana
聖マルコ,São Marcos
聖ルカ,São Lucas
聖アンデレ,Santo André
聖ペテロ,São Pedro
聖ルシヤ,Santa Lúcia
聖ルチア,Santa Lúcia
KBC,KBC
ＪＥＣＡ,JECA
ゆいまーる,Yuimaru
アガペー,Ágape
アガペ,Ágape
ＴＬＥＡ,TLEA
みぎわ,Migiwa
トポス,Topos
箱舟,Arca
主座,Shuza
主の羊,Shunohitsuji
独立新生,Dokuritsu Shinsei
ミズラ,Mizura
ガリラヤ,Galeria
同志社,Doshisha
ＪＯＹＦＵＬ,Alegre
ＳＤＡ,IASD
三育学院,Saniku Gakuin
三育,Saniku
世真留,Semaru
香り,Kaori
フロントライン,Linha de frente
インマヌエル,Emanuel
Catch The Fire,Pegue o fogo
殉愛,Junai
愛聖,Aisei
マリ,Mari
あどないいるえ,Adonai Jiréh
パルディス,Pardis
サンクチュアリ,Santuário
第一,Primeiro
エンジェル,Anjo
信仰,Fé
地の果て宣教教会,Igreja Missionária do Fim da Terra
純福音,Evangelho Completo
カルバリー,Calvário
ベツレヘム,Belém
シオン,Sião
みことば,Mikotoba
ホーム,Página inicial
ライラック,Lilás
カリス,Charis
企救,Kiku
ザ・クラウド,A nuvem
ジグチョン,Jiguchon
改革派,Reformado
地の果て宣教,Missão Fim da Terra
めぐみ,Megumi
恵み,Megumi
シャローム,Shalom
ベテル,Betel
ホサナ,Hosana
カルバリ,Calvário
サンライズ,Nascer do sol
エペソ,Éfeso
自由,Jiyu
新生,Shinsei
神愛,Shinai
聖パウロ,São Paulo
同胞,Doho
恵泉,Keisen
イエス,Jesus
ユニバーサル,Universais
グレース,Graça
聖ミカエル,São Miguel
ブレッシング,Bênção
グロリア,Glória
燈,Tomoshibi
あおぞら,Aozora
ハレルヤ,Aleluia
ヒズ・プレゼンス,Sua presença
センター,Centro
グローバル,Globais
ミッション,Missão
エブリネイション,Cada nação
ハーベスト,Colheita
カテドラル,Catedral
クリエイターズアーク,Arco dos Criadores
ジーザスコール,Chamado de Jesus
ジーザスセンター,Centro Jesus
ジーザスハウス,Casa de Jesus
ジーザス・コミュニティ,Comunidade Jesus
ジーザス・ファミリー,Família Jesus
ニュー,Novo
ヴィンヤード,Vinhedo
ビクトリー,Vitória
ペンテコステ,Pentecostal
ファミリー,Família
エターナルライフ,Vida Eterna
グレープバイン,Videira
ハウス・オブ・ワーシップ,Casa de Adoração
ビジョン,Visão
再臨キリスト,Cristo está vindo
平和,Heiwa
共立,Kyoritsu
